# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/nu/Diff_proj/Homo_sapiens.GRCh37.75_subset.gtf" "-g" "gene_name" "-o" "counts.txt" "Bam_org/UNT_SRR1039508_subset.bam" "Bam_org/UNT_SRR1039512_subset.bam" "Bam_org/UNT_SRR1039516_subset.bam" "Bam_org/UNT_SRR1039520_subset.bam" "Bam_org/TTT_SRR1039509_subset.bam" "Bam_org/TTT_SRR1039513_subset.bam" "Bam_org/TTT_SRR1039517_subset.bam" "Bam_org/TTT_SRR1039521_subset.bam" 
Geneid	Bam_org/UNT_SRR1039508_subset.bam	Bam_org/UNT_SRR1039512_subset.bam	Bam_org/UNT_SRR1039516_subset.bam	Bam_org/UNT_SRR1039520_subset.bam	Bam_org/TTT_SRR1039509_subset.bam	Bam_org/TTT_SRR1039513_subset.bam
C1orf127	0	8	0	2	0	2
CFL1P6	0	2	0	0	0	0
AL713997.1	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0
TARDBP	5336	6511	6872	4327	4050	3132
MASP2	71	120	78	89	56	43
RP4-635E18.8	98	85	75	77	88	66
SRM	2006	2240	2200	1487	2505	2622
EXOSC10	1914	2460	2132	1653	2347	2325
RP4-635E18.7	3	2	3	2	1	2
RP4-635E18.6	4	8	1	1	0	11
MTOR	3127	3511	4233	2493	3447	3964
MTOR-AS1	1	0	0	0	0	1
RNU6-537P	1	0	0	0	0	0
snoU13	0	0	0	0	0	0
ANGPTL7	8	38	2	28	100	1086
RNU6-291P	0	0	0	0	0	1
RPL39P6	0	0	0	0	0	0
UBIAD1	436	467	533	412	512	496
UBE2V2P3	0	0	2	0	1	0
